sample_date,pathogen,concentration,concentration_units,pct_detectable,rolling_average,location_id,location_name,region,state,fetched_at_utc,type
,,,,,,,Washington,West,,2026-06-28T22:09:55.308610+00:00,Feature
,,,,,,,Idaho,West,,2026-06-28T22:09:55.308639+00:00,Feature
,,,,,,,Montana,West,,2026-06-28T22:09:55.308654+00:00,Feature
,,,,,,,North Dakota,Midwest,,2026-06-28T22:09:55.308665+00:00,Feature
,,,,,,,Minnesota,Midwest,,2026-06-28T22:09:55.308673+00:00,Feature
,,,,,,,Michigan,Midwest,,2026-06-28T22:09:55.308680+00:00,Feature
,,,,,,,Ohio,Midwest,,2026-06-28T22:09:55.308688+00:00,Feature
,,,,,,,Pennsylvania,Northeast,,2026-06-28T22:09:55.308696+00:00,Feature
,,,,,,,New York,Northeast,,2026-06-28T22:09:55.308703+00:00,Feature
,,,,,,,Vermont,Northeast,,2026-06-28T22:09:55.308710+00:00,Feature
,,,,,,,New Hampshire,Northeast,,2026-06-28T22:09:55.308718+00:00,Feature
,,,,,,,Maine,Northeast,,2026-06-28T22:09:55.308725+00:00,Feature
,,,,,,,Arizona,West,,2026-06-28T22:09:55.308734+00:00,Feature
,,,,,,,California,West,,2026-06-28T22:09:55.308742+00:00,Feature
,,,,,,,New Mexico,West,,2026-06-28T22:09:55.308750+00:00,Feature
,,,,,,,Texas,South,,2026-06-28T22:09:55.308757+00:00,Feature
,,,,,,,Alaska,West,,2026-06-28T22:09:55.308772+00:00,Feature
,,,,,,,Louisiana,South,,2026-06-28T22:09:55.308781+00:00,Feature
,,,,,,,Mississippi,South,,2026-06-28T22:09:55.308789+00:00,Feature
,,,,,,,Alabama,South,,2026-06-28T22:09:55.308796+00:00,Feature
,,,,,,,Florida,South,,2026-06-28T22:09:55.308804+00:00,Feature
,,,,,,,Georgia,South,,2026-06-28T22:09:55.308812+00:00,Feature
,,,,,,,South Carolina,South,,2026-06-28T22:09:55.308819+00:00,Feature
,,,,,,,North Carolina,South,,2026-06-28T22:09:55.308827+00:00,Feature
,,,,,,,Virginia,South,,2026-06-28T22:09:55.308835+00:00,Feature
,,,,,,,District of Columbia,South,,2026-06-28T22:09:55.308843+00:00,Feature
,,,,,,,Maryland,South,,2026-06-28T22:09:55.308853+00:00,Feature
,,,,,,,Delaware,South,,2026-06-28T22:09:55.308860+00:00,Feature
,,,,,,,New Jersey,Northeast,,2026-06-28T22:09:55.308869+00:00,Feature
,,,,,,,Connecticut,Northeast,,2026-06-28T22:09:55.308876+00:00,Feature
,,,,,,,Rhode Island,Northeast,,2026-06-28T22:09:55.308884+00:00,Feature
,,,,,,,Massachusetts,Northeast,,2026-06-28T22:09:55.308893+00:00,Feature
,,,,,,,Oregon,West,,2026-06-28T22:09:55.308901+00:00,Feature
,,,,,,,Hawaii,West,,2026-06-28T22:09:55.308909+00:00,Feature
,,,,,,,Utah,West,,2026-06-28T22:09:55.308917+00:00,Feature
,,,,,,,Wyoming,West,,2026-06-28T22:09:55.308924+00:00,Feature
,,,,,,,Nevada,West,,2026-06-28T22:09:55.308934+00:00,Feature
,,,,,,,Colorado,West,,2026-06-28T22:09:55.308941+00:00,Feature
,,,,,,,South Dakota,Midwest,,2026-06-28T22:09:55.308949+00:00,Feature
,,,,,,,Nebraska,Midwest,,2026-06-28T22:09:55.308956+00:00,Feature
,,,,,,,Kansas,Midwest,,2026-06-28T22:09:55.308963+00:00,Feature
,,,,,,,Oklahoma,South,,2026-06-28T22:09:55.308970+00:00,Feature
,,,,,,,Iowa,Midwest,,2026-06-28T22:09:55.308978+00:00,Feature
,,,,,,,Missouri,Midwest,,2026-06-28T22:09:55.308985+00:00,Feature
,,,,,,,Wisconsin,Midwest,,2026-06-28T22:09:55.308993+00:00,Feature
,,,,,,,Illinois,Midwest,,2026-06-28T22:09:55.309001+00:00,Feature
,,,,,,,Kentucky,South,,2026-06-28T22:09:55.309012+00:00,Feature
,,,,,,,Arkansas,South,,2026-06-28T22:09:55.309020+00:00,Feature
,,,,,,,Tennessee,South,,2026-06-28T22:09:55.309029+00:00,Feature
,,,,,,,West Virginia,South,,2026-06-28T22:09:55.309036+00:00,Feature
,,,,,,,Indiana,Midwest,,2026-06-28T22:09:55.309044+00:00,Feature
